City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
293,Marsh Harbour,BS,82.87,light rain,26.5412,-77.0636,Abaco Beach Resort
294,Lorengau,PG,84.22,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
295,Tashla,RU,64.78,scattered clouds,51.7716,52.7427,Torch Hotel
297,Upata,VE,75.2,overcast clouds,8.0086,-62.3989,Posada Villa Nela
299,Stephenville,US,81.55,scattered clouds,32.2207,-98.2023,La Quinta Inn & Suites by Wyndham Stephenville
300,Luoyang,CN,70.45,overcast clouds,34.6836,112.4536,易家国际青年旅舍
301,Chicama,PE,57.74,broken clouds,-7.8447,-79.1469,Balihai Bungalows
302,Caravelas,BR,74.5,moderate rain,-17.7125,-39.2481,Pousada dos Navegantes
303,Phalombe,MW,68.74,clear sky,-15.8064,35.6507,RIVONIA
305,Tocopilla,CL,57.02,few clouds,-22.092,-70.1979,Hotel Galvarino
306,Benidorm,ES,76.77,overcast clouds,38.5382,-0.131,Medplaya Hotel Flamingo Oasis
307,Tiarei,PF,82.0,few clouds,-17.5333,-149.3333,Le Rocher de Tahiti
308,Damaturu,NG,74.07,overcast clouds,11.747,11.9608,"Hayas Guest Inn, Central Roundabout, Gujba Road"
309,Moerai,PF,70.63,few clouds,-22.4333,-151.3333,Le Manotel
312,Wajir,KE,73.36,clear sky,1.7471,40.0573,Mahatallah Hotel
314,Kaffrine,SN,75.34,overcast clouds,14.1059,-15.5508,Beuleup counda motel
317,Bozhou,CN,72.59,overcast clouds,33.8772,115.7703,Haitian Hotel
319,Tortosa,ES,71.24,overcast clouds,40.8125,0.5216,Parador de Tortosa
320,Banda Aceh,ID,83.84,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
321,Kyzyl,RU,59.72,overcast clouds,51.7,94.45,"The hotel complex ""Buyan-Badyrgy"""
323,Gumla,IN,79.88,broken clouds,23.05,84.55,Hotel Bindesh - Chulhani - Best Hotel and Restaurant in Gumla
324,Kamaishi,JP,73.83,moderate rain,39.2667,141.8833,Hotel Route Inn Kamaishi
325,Tsiroanomandidy,MG,66.67,clear sky,-18.7667,46.0333,Hotel Ravinala
326,Cururupu,BR,73.4,clear sky,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
327,Abay,KZ,64.78,clear sky,49.6311,72.8539,Guest House on Abaya 144
330,Diapaga,BF,74.66,broken clouds,12.0708,1.7889,Hôtel GACILIE
334,Banes,CU,79.9,few clouds,20.9625,-75.7186,Hostal Iván y yailet
336,Sena Madureira,BR,71.87,overcast clouds,-9.0656,-68.6569,Hotel Central
338,Slave Lake,CA,51.78,clear sky,55.2834,-114.769,Super 8 by Wyndham Slave Lake AB
340,Paducah,US,67.6,clear sky,37.0834,-88.6001,"Holiday Inn Paducah Riverfront, an IHG Hotel"
341,Grand Gaube,MU,73.38,broken clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
342,Kaeo,NZ,65.32,scattered clouds,-35.1,173.7833,Bushido Lodge
343,Roald,NO,52.75,scattered clouds,62.5833,6.1333,Flem Cabins
345,Neiafu,TO,83.08,scattered clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
346,Swan River,CA,51.69,broken clouds,52.1058,-101.2676,Super 8 by Wyndham Swan River MB
347,Mogadishu,SO,76.87,scattered clouds,2.0371,45.3438,Hotel Juba
351,Cortez,US,54.7,clear sky,37.3489,-108.5859,Sand Canyon National 9 Inn
353,Minab,IR,88.12,clear sky,27.1467,57.0801,Bam campground
354,Annau,TM,71.1,clear sky,37.8876,58.516,"Гостиница ""Уссат инженер"""
