City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
161,Manbij,SY,2022-09-24 03:50:06,36.5281,37.9549,63.84,72,1,7.96,clear sky
162,Maniitsoq,GL,2022-09-24 03:50:07,65.4167,-52.9,40.95,98,100,0.87,moderate rain
163,Touros,BR,2022-09-24 03:50:07,-5.1989,-35.4608,76.17,78,0,12.48,clear sky
164,Abu Samrah,SY,2022-09-24 03:50:08,35.3029,37.1841,65.71,75,0,7.16,clear sky
165,Altamont,US,2022-09-24 03:50:08,42.2068,-121.7372,58.89,59,0,0.0,clear sky
166,Gambela,ET,2022-09-24 03:50:09,8.25,34.5833,70.36,91,85,2.48,overcast clouds
167,Hilo,US,2022-09-24 03:48:26,19.7297,-155.09,82.27,89,100,6.91,overcast clouds
168,Naze,JP,2022-09-24 03:50:10,28.3667,129.4833,83.32,69,49,13.13,scattered clouds
169,Altay,CN,2022-09-24 03:50:10,47.8667,88.1167,70.52,17,0,4.92,clear sky
170,Sioux Lookout,CA,2022-09-24 03:50:11,50.1001,-91.917,51.87,87,100,6.91,overcast clouds
171,Hambantota,LK,2022-09-24 03:50:12,6.1241,81.1185,86.34,66,40,10.36,scattered clouds
172,Tual,ID,2022-09-24 03:50:12,-5.6667,132.75,82.38,72,64,13.31,broken clouds
173,Carutapera,BR,2022-09-24 03:50:13,-1.195,-46.02,75.51,87,4,3.53,clear sky
174,The Valley,AI,2022-09-24 03:49:27,18.217,-63.0578,82.26,74,94,14.56,overcast clouds
175,Riachao Das Neves,BR,2022-09-24 03:50:14,-11.7461,-44.91,73.06,78,38,2.21,scattered clouds
176,Torbay,CA,2022-09-24 03:50:14,47.6666,-52.7314,61.75,96,100,18.41,light intensity drizzle
177,Luanda,AO,2022-09-24 03:50:04,-8.8368,13.2343,73.4,83,75,3.44,broken clouds
178,La Asuncion,VE,2022-09-24 03:50:15,11.0333,-63.8628,78.53,94,47,8.05,scattered clouds
179,Hithadhoo,MV,2022-09-24 03:51:15,-0.6,73.0833,81.63,74,100,3.51,overcast clouds
180,Tokur,RU,2022-09-24 03:51:16,53.1333,132.9,46.29,87,100,6.58,overcast clouds
181,Gusau,NG,2022-09-24 03:51:16,12.1628,6.6614,73.36,84,100,6.44,overcast clouds
182,Montalvo,EC,2022-09-24 03:51:17,-1.8,-79.3333,72.97,87,69,2.35,broken clouds
183,Kodiak,US,2022-09-24 03:49:44,57.79,-152.4072,54.91,41,20,6.91,few clouds
184,Ladario,BR,2022-09-24 03:51:17,-19.0047,-57.6017,63.5,28,49,3.96,scattered clouds
185,Black River,JM,2022-09-24 03:51:18,18.0264,-77.8487,79.05,83,21,3.83,few clouds
186,Sawtell,AU,2022-09-24 03:51:18,-30.3833,153.1,69.82,78,75,8.05,broken clouds
187,Lubango,AO,2022-09-24 03:51:19,-14.9172,13.4925,63.09,29,3,4.32,clear sky
188,Minsk,BY,2022-09-24 03:46:22,53.9,27.5667,46.15,92,100,9.46,overcast clouds
189,Vila Velha,BR,2022-09-24 03:48:13,-20.3297,-40.2925,71.55,82,75,17.0,broken clouds
190,Cayenne,GF,2022-09-24 03:51:20,4.9333,-52.3333,75.24,94,0,0.0,clear sky
191,Port Macquarie,AU,2022-09-24 03:51:20,-31.4333,152.9167,66.09,68,100,19.57,thunderstorm
192,Oriximina,BR,2022-09-24 03:49:29,-1.7656,-55.8661,76.12,52,0,3.15,clear sky
193,Lodja,CD,2022-09-24 03:51:21,-3.4833,23.4333,67.21,99,95,2.01,overcast clouds
194,Aktau,KZ,2022-09-24 03:51:21,43.65,51.2,68.58,71,19,19.08,few clouds
195,Nicoya,CR,2022-09-24 03:51:22,10.1483,-85.452,74.84,94,96,2.84,overcast clouds
196,Biak,ID,2022-09-24 03:51:22,-0.9131,122.8766,83.37,66,79,9.28,broken clouds
197,Grindavik,IS,2022-09-24 03:51:23,63.8424,-22.4338,50.47,100,100,18.41,mist
198,Brockville,CA,2022-09-24 03:50:41,44.5834,-75.6826,52.12,88,0,5.7,clear sky
199,Abbeville,FR,2022-09-24 03:51:23,50.1,1.8333,56.5,95,100,3.8,overcast clouds
200,Kirkuk,IQ,2022-09-24 03:51:24,35.4681,44.3922,78.66,29,0,4.56,clear sky
201,La Rioja,ES,2022-09-24 03:51:24,42.25,-2.5,49.78,83,84,3.38,broken clouds
202,Provideniya,RU,2022-09-24 03:51:25,64.3833,-173.3,42.64,66,98,16.62,overcast clouds
203,Corvallis,US,2022-09-24 03:49:59,44.5646,-123.262,64.45,65,0,5.75,clear sky
204,Katsuura,JP,2022-09-24 03:51:25,35.1333,140.3,80.62,84,99,18.95,overcast clouds
205,Aquiraz,BR,2022-09-24 03:51:26,-3.9014,-38.3911,80.69,86,23,10.58,few clouds
206,Sarai Naurang,PK,2022-09-24 03:51:26,32.8259,70.7814,86.58,51,0,3.89,clear sky
207,Paratinga,BR,2022-09-24 03:51:27,-12.6906,-43.1842,74.5,76,55,1.57,broken clouds
208,Vanavara,RU,2022-09-24 03:51:27,60.34,102.2797,37.6,69,100,7.72,overcast clouds
209,Husavik,IS,2022-09-24 03:51:28,66.0449,-17.3389,46.47,68,100,18.28,overcast clouds
210,Praia Da Vitoria,PT,2022-09-24 03:51:28,38.7333,-27.0667,73.65,88,75,23.09,light rain
211,Te Anau,NZ,2022-09-24 03:51:29,-45.4167,167.7167,60.22,57,99,2.59,overcast clouds
212,Aanekoski,FI,2022-09-24 03:51:29,62.6946,25.818,42.67,92,60,3.33,broken clouds
213,Port Keats,AU,2022-09-24 03:51:30,-14.25,129.55,90.05,53,48,12.88,scattered clouds
