City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
115,Sokolniki,PL,2022-09-23 20:45:55,50.638,21.8065,49.48,83,89,5.14
116,Husavik,IS,2022-09-23 20:45:55,66.0449,-17.3389,46.78,71,49,10.11
117,Zhanaozen,KZ,2022-09-23 20:45:55,43.3,52.8,72.82,41,1,2.3
118,Evans,US,2022-09-23 20:45:56,33.5337,-82.1307,80.89,32,0,6.91
119,Abu Samrah,SY,2022-09-23 20:45:56,35.3029,37.1841,69.08,66,0,6.04
120,Valkeala,FI,2022-09-23 20:45:57,60.9401,26.7979,46.8,81,0,3.44
121,Lagoa,PT,2022-09-23 20:45:57,39.05,-27.9833,72.19,87,100,23.55
122,Vincennes,FR,2022-09-23 20:45:58,48.85,2.4333,63.16,61,0,4.61
123,Taoudenni,ML,2022-09-23 20:45:58,22.6783,-3.9836,102.04,15,86,6.78
124,Plovdiv,BG,2022-09-23 20:45:59,42.15,24.75,53.67,58,40,4.61
125,Pangody,RU,2022-09-23 20:46:00,65.85,74.4859,34.48,98,100,8.61
126,Boa Vista,BR,2022-09-23 20:46:00,2.8197,-60.6733,93.18,43,75,9.22
127,General Pico,AR,2022-09-23 20:46:00,-35.6566,-63.7568,72.23,27,100,3.51
128,Changji,CN,2022-09-23 20:46:01,44.0167,87.3167,66.99,24,0,4.47
129,Luderitz,NA,2022-09-23 20:46:01,-26.6481,15.1594,56.12,80,99,12.28
130,Grimmen,DE,2022-09-23 20:46:02,54.1121,13.0405,52.99,58,100,7.11
131,Susurluk,TR,2022-09-23 20:46:02,39.9136,28.1578,58.78,82,0,0.96
132,Morki,RU,2022-09-23 20:46:03,56.4303,48.9947,56.41,48,99,4.12
133,Itiuba,BR,2022-09-23 20:46:03,-10.6917,-39.8536,88.16,37,17,2.3
134,Jimani,DO,2022-09-23 20:46:04,18.4917,-71.8502,89.49,57,49,10.25
135,Lebork,PL,2022-09-23 20:46:04,54.5392,17.7501,47.75,89,100,4.54
136,Joensuu,FI,2022-09-23 20:46:04,62.6012,29.7632,41.49,93,100,3.44
137,Axim,GH,2022-09-23 20:47:05,4.8699,-2.2405,75.24,94,56,6.38
138,Ponta Do Sol,PT,2022-09-23 20:47:06,32.6667,-17.1,74.03,81,16,3.56
139,Barcelos,PT,2022-09-23 20:47:06,41.5388,-8.6151,66.92,88,67,5.95
140,Saint-Augustin,CA,2022-09-23 20:43:10,51.226,-58.6502,57.2,90,100,4.03
141,Marysville,US,2022-09-23 20:45:16,48.0518,-122.1771,69.39,63,100,9.22
142,Ancud,CL,2022-09-23 20:47:07,-41.8697,-73.8203,52.23,66,15,7.18
143,Mabaruma,GY,2022-09-23 20:47:07,8.2,-59.7833,82.76,72,87,5.88
144,Pitimbu,BR,2022-09-23 20:47:08,-7.4706,-34.8086,81.19,78,2,9.13
145,Bosaso,SO,2022-09-23 20:47:09,11.2842,49.1816,87.44,58,71,3.91
146,Ornskoldsvik,SE,2022-09-23 20:47:09,63.2909,18.7153,52.75,100,100,6.91
147,Saldanha,ZA,2022-09-23 20:47:10,-33.0117,17.9442,50.05,69,100,14.58
